Lesson,Part,英語,発音,品詞,意味,英語例文,日本語訳,なんでもメモ
2,1,firefighter,[ˈfaɪərfaɪtər],名,消防士,I wanted to be a firefighter when I was little.,小さいときは消防士になりたかったんだよね。,
2,1,smile,[smaɪl],名,微笑み,She gave me the okay with a smile!,笑顔でオッケーくれた！,
2,1,skateboard,[ˈskeɪtbɔːrd],動,スケートボードをする,Can you skateboard or snowboard?,スケボとかスノボとかできる？,
2,1,she's,[ʃiːz],短,she is の短縮形,"I invited Yui, but she's busy.",ユイ誘ったんだけど、忙しいって。,
2,1,popular,[ˈpɑːpjələr],形,人気のある,What songs are popular right now?,今どんな歌が人気なの？,
2,1,her,[hɜːr],代,彼女の,Mayumi looks a lot like her sister.,マユミはお姉ちゃんとよく似てる。,
2,1,powerful,[ˈpaʊərfl],形,力強い,"Wow, this hair dryer is too powerful!",わっ、このドライヤーめっちゃ強力！,
2,1,voice,[vɔɪs],名,声,His voice sounds like someone’s.,彼の声、だれかの声に似てる。,
2,1,it's,[ɪts],短,it is の短縮形,Be careful. It’s hot.,気をつけて。熱いよ。,
2,2,cannot,[kænɑːt],否,can の否定形,Warning: You cannot access this site right now.,警告：このサイトにはただいまアクセスできません。,
2,2,can't,[kænt],短,cannot の短縮形,"No, no, no, no, I can’t sing in front of people.",いやいやいやいや、人前では歌えないって。,
2,2,teach,[tiːtʃ],動,教える,Can you teach me this? — All right.,ここ教えて。 — いいよ。,
2,2,sure,[ʃʊr],副,もちろん,Can I come with you? — Sure.,おれもいっしょに行っていい？ — いいよ。,
2,2,piece,[piːs],名,1つのかけら、〈将棋などの〉駒,The last piece of the puzzle is missing.,パズルの最後のピースがどっかいった。,
2,2,move,[muːv],動,動かす、動く,I can’t move my shoulder right now.,今は肩を動かせません。,名詞はmovement（動き）
2,2,space,[speɪs],名,空間,You don’t put spaces between words in Japanese.,日本語では単語と単語の間にスペースを入れません。,
2,2,forward,[ˈfɔːrwərd],副,前へ,Can we move the desk forward a little?,机を少し前に動かしてもいい？,
2,Goal Activity,he's,[hiːz],短,he is の短縮形,Where’s Mr. Morita? — He’s off today.,森田先生はどちらですか？ — 今日はお休みですよ。,
2,Goal Activity,uncle,[ˈʌŋkl],名,おじ,"My sister had a baby, so now I’m an uncle.",姉ちゃんに子どもが生まれたの、だからぼくはもうおじ。,
2,Goal Activity,language,[ˈlæŋgwɪdʒ],名,言語,"Why do over 7,000 languages exist?","なんで7,000以上も言語が存在するの？",
2,Goal Activity,his,[hɪz],代,彼の,He is so good. I want to have his talent.,あいつめっちゃ上手いな。あいつの才能がほしい。,
2,Goal Activity,Chinese,[ˌtʃaɪˈniːz],名,中国語,I want to be able to speak Chinese.,中国語話せるようになりたいな。,
