カテゴリー,英語,発音,日本語
人,boy,[bɔɪ],男の子
人,girl,[ɡɜːrl],女の子
人,friend,[frɛnd],友だち
人,classmate,[ˈklæsmeɪt],同級生
人,teacher,[ˈtitʃər],先生
人,player,[ˈpleɪər],競技者
人,father,[ˈfɑːðər],父
人,mother,[ˈmʌðər],母
人,brother,[ˈbrʌðər],兄、弟
人,sister,[ˈsɪstər],姉、妹
人,family,[ˈfæməli],家族
人,everyone,[ˈɛvriwʌn],みんな
動物,dog,[dɔːɡ],イヌ
動物,cat,[kæt],ネコ
動物,bird,[bɜːrd],鳥
動物,animal,[ˈænɪməl],動物
食べ物・飲み物,curry,[ˈkɜːri],カレー料理
食べ物・飲み物,rice,[raɪs],米
食べ物・飲み物,bread,[brɛd],パン
食べ物・飲み物,pizza,[ˈpiːtsə],ピザ
食べ物・飲み物,cake,[keɪk],ケーキ
食べ物・飲み物,milk,[mɪlk],牛乳
食べ物・飲み物,coffee,[ˈkɔːfi],コーヒー
食べ物・飲み物,tea,[tiː],茶
身の回りのもの,pen,[pen],ペン
身の回りのもの,pencil,[ˈpensl],えんぴつ
身の回りのもの,book,[bʊk],本
身の回りのもの,notebook,[ˈnoʊtbʊk],ノート
身の回りのもの,textbook,[ˈtekstbʊk],教科書
身の回りのもの,dictionary,[ˈdɪkʃəneri],辞書
身の回りのもの,newspaper,[ˈnuːzpeɪpər],新聞
身の回りのもの,computer,[kəmˈpjuːtər],コンピュータ
身の回りのもの,TV,[ˈtiːˈviː],テレビ(放送)
身の回りのもの,game,[ɡeɪm],遊び、試合
身の回りのもの,piano,[piˈænoʊ],ピアノ
身の回りのもの,guitar,[ɡɪˈtɑːr],ギター
身の回りのもの,picture,[ˈpɪktʃər],絵、写真
身の回りのもの,map,[mæp],地図
身の回りのもの,umbrella,[ʌmˈbrelə],かさ
身の回りのもの,present,[ˈpreznt],プレゼント
身の回りのもの,flower,[ˈflaʊər],花
身の回りのもの,bag,[bæɡ],ふくろ
身の回りのもの,chair,[tʃeər],いす
身の回りのもの,desk,[desk],机
身の回りのもの,table,[ˈteɪbl],テーブル
身の回りのもの,bed,[bed],ベッド
身の回りのもの,clothes,[kloʊðz],衣服
身の回りのもの,bike,[baɪk],自転車
身の回りのもの,bus,[bʌs],バス
身の回りのもの,train,[treɪn],電車
身の回りのもの,airplane,[ˈɛərpleɪn],飛行機
場所,classroom,[ˈklæsruːm],教室
場所,school,[skuːl],学校
場所,house,[haʊs],家
場所,town,[taʊn],町
場所,park,[pɑːrk],公園
場所,zoo,[zuː],動物園
場所,shop,[ʃɑːp],店
場所,library,[ˈlaɪbreri],図書館
場所,bookstore,[ˈbʊkstoːr],本屋
場所,station,[ˈsteɪʃn],駅
場所,restaurant,[ˈrestərɑːnt],レストラン
場所,museum,[mjuːˈziːəm],博物館
場所,hospital,[ˈhɑːspɪtl],病院
場所,street,[striːt],通り
場所,way,[weɪ],道
場所,subway,[ˈsʌbweɪ],地下鉄
場所,bridge,[brɪdʒ],橋
場所,home,[hoʊm],家庭、家
場所,country,[ˈkʌntri],国
自然,sea,[siː],海
自然,beach,[biːtʃ],浜、海辺
自然,tree,[triː],木
自然,mountain,[ˈmaʊntn],山
自然,river,[ˈrɪvər],川
自然,lake,[leɪk],湖
